SETTLEMENTDATE,RRP
2009-01-01,14.90787234042553
2009-01-02,17.764166666666664
2009-01-03,20.332708333333333
2009-01-04,21.327708333333334
2009-01-05,35.10520833333333
2009-01-06,50.95166666666666
2009-01-07,36.380833333333335
2009-01-08,25.49020833333333
2009-01-09,24.445625000000003
2009-01-10,22.5425
2009-01-11,22.719791666666666
2009-01-12,33.594375
2009-01-13,1719.806875
2009-01-14,53.296875
2009-01-15,41.342708333333334
2009-01-16,35.864375
2009-01-17,29.523124999999997
2009-01-18,36.17583333333334
2009-01-19,1153.4022916666668
2009-01-20,59.98895833333333
2009-01-21,42.10645833333333
2009-01-22,34.218125
2009-01-23,35.244166666666665
2009-01-24,31.504791666666666
2009-01-25,29.176875
2009-01-26,32.40145833333333
2009-01-27,92.90583333333335
2009-01-28,1275.820625
2009-01-29,1778.420625
2009-01-30,182.39041666666665
2009-01-31,98.95833333333333
2009-02-01,43.24520833333333
2009-02-02,59.99125
2009-02-03,46.584375
2009-02-04,57.61895833333333
2009-02-05,61.14833333333333
2009-02-06,94.890625
2009-02-07,131.68812499999999
2009-02-08,-2.999375000000001
2009-02-09,6.669166666666668
2009-02-10,27.42833333333333
2009-02-11,32.517291666666665
2009-02-12,32.05020833333334
2009-02-13,32.029375
2009-02-14,22.183958333333333
2009-02-15,16.445
2009-02-16,30.1425
2009-02-17,43.39895833333333
2009-02-18,38.577083333333334
2009-02-19,39.38729166666666
2009-02-20,33.176458333333336
2009-02-21,23.226041666666664
2009-02-22,26.279791666666668
2009-02-23,31.60020833333333
2009-02-24,28.53
2009-02-25,28.850416666666664
2009-02-26,45.62854166666667
2009-02-27,30.62770833333333
2009-02-28,21.031041666666667
2009-03-01,18.086458333333333
2009-03-02,25.987708333333334
2009-03-03,23.670625
2009-03-04,20.680208333333333
2009-03-05,26.43625
2009-03-06,29.77625
2009-03-07,20.946875000000002
2009-03-08,17.357916666666664
2009-03-09,20.063541666666666
2009-03-10,23.451875
2009-03-11,30.590208333333333
2009-03-12,34.3325
2009-03-13,35.29
2009-03-14,21.095833333333335
2009-03-15,25.363125
2009-03-16,31.669166666666666
2009-03-17,34.92270833333333
2009-03-18,32.698125
2009-03-19,34.434999999999995
2009-03-20,39.029583333333335
2009-03-21,33.475833333333334
2009-03-22,20.006666666666668
2009-03-23,29.233541666666667
2009-03-24,30.67395833333333
2009-03-25,30.084166666666665
2009-03-26,23.677083333333332
2009-03-27,24.081458333333334
2009-03-28,20.80604166666667
2009-03-29,23.172083333333333
2009-03-30,28.981875
2009-03-31,174.79645833333333
2009-04-01,52.024375
2009-04-02,54.425000000000004
2009-04-03,38.50729166666667
2009-04-04,29.271041666666665
2009-04-05,30.96666666666667
2009-04-06,33.163125
2009-04-07,34.01354166666667
2009-04-08,31.950625000000002
2009-04-09,33.98625
2009-04-10,30.83729166666667
2009-04-11,29.489583333333332
2009-04-12,25.898333333333337
2009-04-13,24.69666666666667
2009-04-14,31.90125
2009-04-15,11.237291666666666
2009-04-16,31.513333333333335
2009-04-17,32.454166666666666
2009-04-18,32.390625
2009-04-19,30.974375
2009-04-20,38.441875
2009-04-21,37.273125
2009-04-22,35.6225
2009-04-23,28.894583333333333
2009-04-24,32.187083333333334
2009-04-25,26.349166666666665
2009-04-26,39.755833333333335
2009-04-27,57.896458333333335
2009-04-28,53.71791666666667
2009-04-29,49.775416666666665
2009-04-30,47.32833333333334
2009-05-01,42.29020833333333
2009-05-02,31.90416666666667
2009-05-03,32.594791666666666
2009-05-04,36.223125
2009-05-05,40.89416666666667
2009-05-06,39.79875
2009-05-07,35.98416666666667
2009-05-08,36.05416666666667
2009-05-09,36.8675
2009-05-10,28.409791666666667
2009-05-11,37.7425
2009-05-12,35.71854166666667
2009-05-13,31.613125
2009-05-14,24.514375
2009-05-15,22.56125
2009-05-16,30.313333333333333
2009-05-17,32.563541666666666
2009-05-18,34.736666666666665
2009-05-19,31.99083333333333
2009-05-20,32.423125
2009-05-21,28.819374999999997
2009-05-22,27.665625000000002
2009-05-23,22.309375
2009-05-24,29.047708333333333
2009-05-25,31.990624999999998
2009-05-26,33.010625
2009-05-27,36.00666666666667
2009-05-28,31.822708333333335
2009-05-29,58.30291666666667
2009-05-30,39.307291666666664
2009-05-31,34.9075
2009-06-01,47.70208333333333
2009-06-02,51.4575
2009-06-03,39.25895833333333
2009-06-04,43.331250000000004
2009-06-05,31.807291666666668
2009-06-06,29.597291666666667
2009-06-07,30.011041666666667
2009-06-08,24.846666666666668
2009-06-09,27.887916666666666
2009-06-10,48.636041666666664
2009-06-11,35.265208333333334
2009-06-12,35.28520833333334
2009-06-13,29.323125
2009-06-14,31.084166666666665
2009-06-15,33.17666666666667
2009-06-16,32.60875
2009-06-17,31.348541666666666
2009-06-18,36.06791666666667
2009-06-19,27.38354166666667
2009-06-20,23.483541666666667
2009-06-21,24.228125000000002
2009-06-22,23.364375
2009-06-23,26.683541666666667
2009-06-24,28.437291666666667
2009-06-25,31.490624999999998
2009-06-26,29.466458333333335
2009-06-27,27.275000000000002
2009-06-28,20.83729166666667
2009-06-29,21.06
2009-06-30,16.4675
2009-07-01,18.823125
2009-07-02,26.961458333333336
2009-07-03,25.123541666666668
2009-07-04,27.739166666666666
2009-07-05,32.017291666666665
2009-07-06,34.25625
2009-07-07,33.208125
2009-07-08,36.941875
2009-07-09,31.679374999999997
2009-07-10,25.85083333333333
2009-07-11,24.375208333333333
2009-07-12,24.941041666666667
2009-07-13,28.977083333333336
2009-07-14,34.07145833333333
2009-07-15,29.892291666666665
