SETTLEMENTDATE,RRP
2009-01-01,16.577659574468086
2009-01-02,16.771666666666665
2009-01-03,17.246875
2009-01-04,17.321875000000002
2009-01-05,32.79270833333333
2009-01-06,49.679375
2009-01-07,38.25270833333334
2009-01-08,26.190625
2009-01-09,23.944374999999997
2009-01-10,21.982708333333335
2009-01-11,21.88354166666667
2009-01-12,29.592916666666667
2009-01-13,46.759375
2009-01-14,52.38999999999999
2009-01-15,48.24916666666667
2009-01-16,37.245416666666664
2009-01-17,27.471666666666668
2009-01-18,23.495625
2009-01-19,49.55791666666667
2009-01-20,53.28270833333334
2009-01-21,41.376041666666666
2009-01-22,42.55979166666666
2009-01-23,40.3325
2009-01-24,37.17104166666667
2009-01-25,26.831458333333334
2009-01-26,31.691041666666667
2009-01-27,52.74937500000001
2009-01-28,404.08958333333334
2009-01-29,2376.447083333333
2009-01-30,129.699375
2009-01-31,58.04145833333334
2009-02-01,37.469166666666666
2009-02-02,55.975625
2009-02-03,43.66729166666667
2009-02-04,54.18
2009-02-05,61.309583333333336
2009-02-06,61.388958333333335
2009-02-07,99.12604166666667
2009-02-08,-7.298124999999998
2009-02-09,10.468750000000002
2009-02-10,26.063541666666666
2009-02-11,31.306458333333335
2009-02-12,31.998333333333335
2009-02-13,30.415208333333336
2009-02-14,21.384583333333335
2009-02-15,16.745
2009-02-16,28.965
2009-02-17,40.180625
2009-02-18,30.892916666666665
2009-02-19,36.22708333333333
2009-02-20,29.119375
2009-02-21,20.891458333333333
2009-02-22,20.127916666666668
2009-02-23,29.734166666666667
2009-02-24,25.999375
2009-02-25,24.731875000000002
2009-02-26,27.60166666666667
2009-02-27,27.527916666666666
2009-02-28,19.16125
2009-03-01,15.920625
2009-03-02,23.545208333333335
2009-03-03,24.78125
2009-03-04,21.247916666666665
2009-03-05,24.871875
2009-03-06,27.509375000000002
2009-03-07,20.028958333333332
2009-03-08,17.87375
2009-03-09,20.143333333333334
2009-03-10,21.467291666666668
2009-03-11,27.316875
2009-03-12,30.827916666666667
2009-03-13,31.073125
2009-03-14,21.009583333333335
2009-03-15,25.377291666666665
2009-03-16,28.643541666666668
2009-03-17,30.16125
2009-03-18,28.942708333333332
2009-03-19,32.94104166666667
2009-03-20,37.648125
2009-03-21,33.606249999999996
2009-03-22,17.233958333333334
2009-03-23,27.056875
2009-03-24,28.98125
2009-03-25,28.021666666666665
2009-03-26,22.458541666666665
2009-03-27,22.364166666666666
2009-03-28,17.294375
2009-03-29,19.897916666666667
2009-03-30,25.81375
2009-03-31,29.220416666666665
2009-04-01,50.684374999999996
2009-04-02,59.28270833333334
2009-04-03,44.82541666666666
2009-04-04,30.99625
2009-04-05,31.084166666666665
2009-04-06,35.40083333333333
2009-04-07,35.21791666666667
2009-04-08,33.35729166666667
2009-04-09,31.567916666666665
2009-04-10,27.280833333333334
2009-04-11,25.520833333333332
2009-04-12,22.02625
2009-04-13,23.220416666666665
2009-04-14,32.553125
2009-04-15,33.795
2009-04-16,34.676458333333336
2009-04-17,33.30770833333333
2009-04-18,32.29333333333333
2009-04-19,29.00645833333333
2009-04-20,42.43145833333333
2009-04-21,45.27645833333333
2009-04-22,39.13
2009-04-23,30.32541666666667
2009-04-24,32.51125
2009-04-25,24.813958333333332
2009-04-26,38.766666666666666
2009-04-27,58.64208333333334
2009-04-28,54.90729166666667
2009-04-29,53.638125
2009-04-30,52.003125000000004
2009-05-01,44.49458333333333
2009-05-02,32.40895833333334
2009-05-03,32.21
2009-05-04,37.27625
2009-05-05,43.778124999999996
2009-05-06,41.06395833333333
2009-05-07,34.88333333333333
2009-05-08,36.575625
2009-05-09,34.00604166666667
2009-05-10,24.754375
2009-05-11,35.37708333333333
2009-05-12,32.705625
2009-05-13,31.066875
2009-05-14,26.993750000000002
2009-05-15,28.125208333333333
2009-05-16,29.417708333333334
2009-05-17,28.427291666666665
2009-05-18,34.39875
2009-05-19,30.912499999999998
2009-05-20,30.258333333333336
2009-05-21,28.095
2009-05-22,28.439791666666668
2009-05-23,21.77916666666667
2009-05-24,21.239583333333332
2009-05-25,25.050208333333334
2009-05-26,26.437708333333333
2009-05-27,28.855416666666667
2009-05-28,25.67458333333333
2009-05-29,32.675625000000004
2009-05-30,34.204375
2009-05-31,33.772708333333334
2009-06-01,44.829791666666665
2009-06-02,44.971666666666664
2009-06-03,36.525625
2009-06-04,38.80083333333334
2009-06-05,28.605625
2009-06-06,28.62375
2009-06-07,29.805000000000003
2009-06-08,24.606666666666666
2009-06-09,30.449375
2009-06-10,47.79
2009-06-11,40.607708333333335
2009-06-12,38.44958333333333
2009-06-13,29.21875
2009-06-14,27.218958333333333
2009-06-15,31.054583333333337
2009-06-16,29.905833333333334
2009-06-17,27.424166666666665
2009-06-18,33.9075
2009-06-19,25.859583333333333
2009-06-20,23.266666666666666
2009-06-21,22.046875
2009-06-22,22.77854166666667
2009-06-23,25.8875
2009-06-24,27.219583333333333
2009-06-25,29.613541666666666
2009-06-26,26.69333333333333
2009-06-27,25.256249999999998
2009-06-28,20.332916666666666
2009-06-29,21.556875
2009-06-30,19.0425
2009-07-01,19.638333333333332
2009-07-02,29.619791666666668
2009-07-03,25.926041666666666
2009-07-04,24.844166666666666
2009-07-05,27.75979166666667
2009-07-06,29.713541666666668
2009-07-07,29.620416666666667
2009-07-08,36.55979166666666
2009-07-09,31.752499999999998
2009-07-10,28.169583333333332
2009-07-11,25.054166666666664
2009-07-12,24.42625
2009-07-13,29.124583333333334
2009-07-14,33.91166666666667
2009-07-15,28.64979166666667
2009-07-16,36.683125
