SETTLEMENTDATE,RRP
2009-01-01,25.613404255319146
2009-01-02,28.231666666666666
2009-01-03,28.533958333333334
2009-01-04,32.11020833333333
2009-01-05,50.105
2009-01-06,62.51104166666667
2009-01-07,57.814166666666665
2009-01-08,38.97541666666667
2009-01-09,36.03416666666667
2009-01-10,33.72020833333334
2009-01-11,34.43979166666667
2009-01-12,44.48833333333334
2009-01-13,56.17083333333333
2009-01-14,62.901041666666664
2009-01-15,63.221666666666664
2009-01-16,53.83291666666667
2009-01-17,123.02749999999999
2009-01-18,46.9125
2009-01-19,69.76708333333333
2009-01-20,57.880208333333336
2009-01-21,67.90625
2009-01-22,60.10833333333333
2009-01-23,59.11666666666667
2009-01-24,49.067708333333336
2009-01-25,39.55833333333333
2009-01-26,47.919375
2009-01-27,62.553958333333334
2009-01-28,78.53541666666666
2009-01-29,513.914375
2009-01-30,385.7764583333333
2009-01-31,74.26125
2009-02-01,64.81354166666667
2009-02-02,78.41229166666666
2009-02-03,68.09479166666667
2009-02-04,68.11125
2009-02-05,73.39041666666667
2009-02-06,75.91041666666666
2009-02-07,-182.91854166666667
2009-02-08,-46.526041666666664
2009-02-09,53.62270833333333
2009-02-10,49.291041666666665
2009-02-11,50.62354166666666
2009-02-12,54.7425
2009-02-13,49.43333333333334
2009-02-14,32.56270833333333
2009-02-15,29.72520833333333
2009-02-16,44.154583333333335
2009-02-17,56.008541666666666
2009-02-18,45.81145833333333
2009-02-19,55.788125
2009-02-20,47.59125
2009-02-21,36.26833333333334
2009-02-22,33.520833333333336
2009-02-23,45.44833333333333
2009-02-24,45.43416666666667
2009-02-25,44.349375
2009-02-26,45.22208333333333
2009-02-27,46.026041666666664
2009-02-28,29.651666666666667
2009-03-01,29.5925
2009-03-02,44.14208333333334
2009-03-03,43.368541666666665
2009-03-04,29.163958333333337
2009-03-05,36.21458333333333
2009-03-06,41.26354166666667
2009-03-07,28.279583333333335
2009-03-08,26.959791666666664
2009-03-09,25.94729166666667
2009-03-10,35.389583333333334
2009-03-11,38.772708333333334
2009-03-12,41.10958333333333
2009-03-13,52.48
2009-03-14,28.43375
2009-03-15,34.99770833333333
2009-03-16,32.444375
2009-03-17,34.975625
2009-03-18,35.71791666666667
2009-03-19,37.98041666666666
2009-03-20,42.932291666666664
2009-03-21,44.91770833333334
2009-03-22,27.821458333333336
2009-03-23,32.74854166666667
2009-03-24,46.169375
2009-03-25,39.676458333333336
2009-03-26,35.803333333333335
2009-03-27,42.373958333333334
2009-03-28,28.25791666666667
2009-03-29,32.158750000000005
2009-03-30,39.856249999999996
2009-03-31,40.91979166666667
2009-04-01,141.20895833333336
2009-04-02,115.09416666666668
2009-04-03,126.48354166666667
2009-04-04,39.36020833333333
2009-04-05,49.23291666666666
2009-04-06,81.66604166666667
2009-04-07,161.453125
2009-04-08,62.52375
2009-04-09,53.30416666666667
2009-04-10,45.147083333333335
2009-04-11,47.403124999999996
2009-04-12,53.668749999999996
2009-04-13,45.202708333333334
2009-04-14,51.65166666666667
2009-04-15,54.121874999999996
2009-04-16,66.94354166666666
2009-04-17,60.100625
2009-04-18,47.59166666666667
2009-04-19,46.52979166666666
2009-04-20,59.708333333333336
2009-04-21,55.966874999999995
2009-04-22,50.70708333333334
2009-04-23,43.07395833333334
2009-04-24,43.34458333333333
2009-04-25,42.939375000000005
2009-04-26,67.99854166666667
2009-04-27,71.94125
2009-04-28,104.86500000000001
2009-04-29,124.01458333333333
2009-04-30,64.99249999999999
2009-05-01,61.61666666666667
2009-05-02,46.114374999999995
2009-05-03,45.970416666666665
2009-05-04,48.43625
2009-05-05,69.19020833333333
2009-05-06,64.88250000000001
2009-05-07,47.82416666666666
2009-05-08,61.45645833333333
2009-05-09,48.920208333333335
2009-05-10,58.64479166666666
2009-05-11,58.39541666666667
2009-05-12,61.626666666666665
2009-05-13,34.30916666666666
2009-05-14,21.439166666666665
2009-05-15,15.408125
2009-05-16,28.398750000000003
2009-05-17,44.60916666666666
2009-05-18,83.83104166666668
2009-05-19,174.02374999999998
2009-05-20,68.28979166666666
2009-05-21,56.475208333333335
2009-05-22,38.309375
2009-05-23,19.644166666666667
2009-05-24,-6.266041666666666
2009-05-25,-87.905625
2009-05-26,23.263958333333335
2009-05-27,27.514583333333334
2009-05-28,33.250416666666666
2009-05-29,88.50083333333333
2009-05-30,40.96729166666667
2009-05-31,75.95270833333333
2009-06-01,264.82
2009-06-02,139.90895833333335
2009-06-03,40.037083333333335
2009-06-04,37.057291666666664
2009-06-05,31.226250000000004
2009-06-06,23.965833333333332
2009-06-07,27.579583333333332
2009-06-08,24.14375
2009-06-09,30.094791666666666
2009-06-10,390.6254166666667
2009-06-11,738.9266666666666
2009-06-12,585.421875
2009-06-13,37.80041666666667
2009-06-14,61.156666666666666
2009-06-15,550.2741666666667
2009-06-16,834.1783333333333
2009-06-17,197.57354166666664
2009-06-18,207.71124999999998
2009-06-19,626.6904166666667
2009-06-20,32.198541666666664
2009-06-21,30.31125
2009-06-22,28.324583333333333
2009-06-23,40.47479166666667
2009-06-24,61.45541666666667
2009-06-25,66.55208333333333
2009-06-26,35.060208333333335
2009-06-27,23.209374999999998
2009-06-28,13.482708333333333
2009-06-29,19.7375
2009-06-30,14.515625
2009-07-01,19.536875
2009-07-02,26.58083333333333
2009-07-03,22.707708333333333
2009-07-04,23.3225
2009-07-05,26.265208333333334
2009-07-06,30.36
2009-07-07,30.418958333333332
2009-07-08,35.14
2009-07-09,29.654583333333335
2009-07-10,25.559375
2009-07-11,23.488541666666666
